,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std,Log Loss - mean,Log Loss - std
emb_392tlr_relu_alpha,0.9653,0.0010,0.7975,0.0037,0.7911,0.0043,1.6130,0.0031
emb_392tlr_relu_rtdl,0.9677,0.0012,0.8047,0.0038,0.8017,0.0045,1.6031,0.0040
emb_392tlr_relu_standard,0.9565,0.0029,0.7690,0.0084,0.7632,0.0093,1.6535,0.0110
emb_392tlr_tanh_alpha,0.9655,0.0012,0.8030,0.0044,0.8004,0.0037,1.6011,0.0065
emb_392tlr_tanh_rtdl,0.9661,0.0010,0.7973,0.0030,0.7951,0.0031,1.6099,0.0031
emb_392tlr_tanh_standard,0.9572,0.0033,0.7728,0.0067,0.7652,0.0087,1.6485,0.0109
emb_488lr_relu_alpha,0.9677,0.0007,0.8066,0.0025,0.8029,0.0017,1.6025,0.0031
emb_488lr_relu_rtdl,0.9672,0.0021,0.8035,0.0030,0.7999,0.0028,1.6029,0.0046
emb_488lr_relu_standard,0.9573,0.0032,0.7719,0.0071,0.7664,0.0087,1.6427,0.0095
emb_488lr_tanh_alpha,0.9665,0.0015,0.8065,0.0020,0.8038,0.0019,1.5970,0.0044
emb_488lr_tanh_rtdl,0.9657,0.0015,0.8009,0.0028,0.7978,0.0014,1.6065,0.0028
emb_488lr_tanh_standard,0.9574,0.0028,0.7769,0.0077,0.7709,0.0094,1.6383,0.0113
