,trainning_time,average_epochs,time_per_epoch,testing_time
emb_296tlr_relu_alpha,4500.1857,76.0000,58.7185,3.0713
emb_296tlr_relu_rtdl,5936.1781,100.0000,58.7973,3.0765
emb_296tlr_relu_standard,5305.2270,90.0000,58.5825,3.0658
emb_296tlr_tanh_alpha,1938.0732,32.0000,58.8008,3.0792
emb_296tlr_tanh_rtdl,5156.0956,87.0000,58.9133,3.0711
emb_296tlr_tanh_standard,5583.4876,95.0000,58.6501,3.0702
emb_448lr_relu_alpha,6178.3055,59.0000,103.5239,5.6493
emb_448lr_relu_rtdl,4679.2984,45.0000,103.3414,5.6642
emb_448lr_relu_standard,6391.1011,61.0000,103.7516,5.6549
emb_448lr_tanh_alpha,2603.3641,25.0000,103.6371,5.6538
emb_448lr_tanh_rtdl,4824.8213,46.0000,103.6259,5.6516
emb_448lr_tanh_standard,8564.9743,82.0000,103.7424,5.6563
